source_zip,package,filename,kind,size_bytes
Client_REFERENCE_source-only_20260625_1447(4).zip,cxDataRS25,cxDataRS25.bpl_bak,backup,683520
Client_REFERENCE_source-only_20260625_1447(4).zip,cxEditorsRS25,cxEditorsRS25.bpl,active,5798912
Client_REFERENCE_source-only_20260625_1447(4).zip,cxEditorsRS25,cxEditorsRS25.bpl_bak,backup,5798912
Client_REFERENCE_source-only_20260625_1447(4).zip,cxExportRS25,cxExportRS25.bpl,active,339456
Client_REFERENCE_source-only_20260625_1447(4).zip,cxExportRS25,cxExportRS25.bpl_bak,backup,339456
Client_REFERENCE_source-only_20260625_1447(4).zip,cxLibraryRS25,cxLibraryRS25.bpl,active,4028416
Client_REFERENCE_source-only_20260625_1447(4).zip,cxLibraryRS25,cxLibraryRS25.bpl_bak,backup,4028416
Client_REFERENCE_source-only_20260625_1447(4).zip,cxPageControlRS25,cxPageControlRS25.bpl,active,428544
Client_REFERENCE_source-only_20260625_1447(4).zip,cxPageControlRS25,cxPageControlRS25.bpl_bak,backup,428544
Client_REFERENCE_source-only_20260625_1447(4).zip,cxSchedulerRibbonStyleEventEditorRS25,cxSchedulerRibbonStyleEventEditorRS25.bpl,active,151552
Client_REFERENCE_source-only_20260625_1447(4).zip,cxSchedulerRibbonStyleEventEditorRS25,cxSchedulerRibbonStyleEventEditorRS25.bpl_bak,backup,151552
Client_REFERENCE_source-only_20260625_1447(4).zip,cxSchedulerRS25,cxSchedulerRS25.bpl,active,2773504
Client_REFERENCE_source-only_20260625_1447(4).zip,cxSchedulerRS25,cxSchedulerRS25.bpl_bak,backup,2773504
Client_REFERENCE_source-only_20260625_1447(4).zip,cxSchedulerTreeBrowserRS25,cxSchedulerTreeBrowserRS25.bpl,active,136192
Client_REFERENCE_source-only_20260625_1447(4).zip,cxSchedulerTreeBrowserRS25,cxSchedulerTreeBrowserRS25.bpl_bak,backup,136192
Client_REFERENCE_source-only_20260625_1447(4).zip,cxTreeListRS25,cxTreeListRS25.bpl,active,1060352
Client_REFERENCE_source-only_20260625_1447(4).zip,cxTreeListRS25,cxTreeListRS25.bpl_bak,backup,1060352
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient200,DataSnapClient200.bpl,active,811896
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient250,DataSnapClient250.bpl,active,770416
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient250,DataSnapClient250.bpl_bak,backup,770416
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient280,DataSnapClient280.bpl,active,633248
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient280,DataSnapClient280.bpl_bak,backup,633248
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient290,DataSnapClient290.bpl,active,638440
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapClient290,DataSnapClient290.bpl_bak,backup,638440
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon200,DataSnapCommon200.bpl,active,290168
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon250,DataSnapCommon250.bpl,active,283504
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon250,DataSnapCommon250.bpl_bak,backup,283504
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon280,DataSnapCommon280.bpl,active,208288
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon280,DataSnapCommon280.bpl_bak,backup,208288
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon290,DataSnapCommon290.bpl,active,210408
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapCommon290,DataSnapCommon290.bpl_bak,backup,210408
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapProviderClient250,DataSnapProviderClient250.bpl,active,43888
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapProviderClient250,DataSnapProviderClient250.bpl_bak,backup,43888
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapProviderClient280,DataSnapProviderClient280.bpl,active,44448
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapProviderClient280,DataSnapProviderClient280.bpl_bak,backup,44448
Client_REFERENCE_source-only_20260625_1447(4).zip,DataSnapProviderClient290,DataSnapProviderClient290.bpl,active,46056
